Epocs,softmax_avg,softmax_median,softmax_std,softmax_var,softmax_max,softmax_min,sigmoid_avg,sigmoid_median,sigmoid_std,sigmoid_var,sigmoid_max,sigmoid_min
0,3.2805374468335455,3.2742719650268555,0.35423461403472134,0.12548216178032798,4.554461479187012,2.6768875122070312,3.4554271490677544,3.4146220684051514,0.29784969519044197,0.0887144409250392,4.553907871246338,2.9221653938293457
1,2.2229860384271753,2.194450855255127,0.2810570844291859,0.07899308470783453,3.266632318496704,1.8034206628799438,2.436811885478334,2.3930137157440186,0.30231776322866116,0.09139602996358082,3.3471739292144775,1.975161075592041
2,1.671975020296085,1.65975022315979,0.13226035769728214,0.01749280221821302,2.6830148696899414,1.4836921691894531,1.8209745632195324,1.8071174621582031,0.1467870559031598,0.02154643978071736,2.8228116035461426,1.603914737701416
3,1.4534283328500595,1.4462754726409912,0.09479866018392079,0.008986785972666488,2.346616506576538,1.3221995830535889,1.5536804998883549,1.5430018901824951,0.09455039618105031,0.008939777417993571,2.3413140773773193,1.4060660600662231
4,1.3277025852144135,1.323970913887024,0.07980962821735732,0.006369576756192797,2.1432831287384033,1.2262296676635742,1.3988812643548716,1.3941607475280762,0.07931050165174193,0.006290155672250958,2.1352124214172363,1.2838753461837769
5,1.2485950977905937,1.2445634603500366,0.07445805446621981,0.005544001874894556,2.046177864074707,1.1559897661209106,1.300154660059058,1.29666006565094,0.06838852958566628,0.004676990978889552,1.9792391061782837,1.2050414085388184
6,1.1913638981232733,1.185784935951233,0.06881941225853369,0.004736111503610017,1.9379366636276245,1.1109284162521362,1.232826248459194,1.2302184104919434,0.06244433543348481,0.0038992950277295666,1.8719793558120728,1.1510628461837769
7,1.1456326320304633,1.1392062902450562,0.06681502507999185,0.004464247576439939,1.87106192111969,1.0660172700881958,1.1812693376718841,1.1762818098068237,0.061191158348299225,0.00374435786000663,1.8158819675445557,1.1042519807815552
8,1.1054007807133361,1.1011755466461182,0.06423197632092331,0.004125746782091652,1.8094452619552612,1.038152813911438,1.1380378155974868,1.1339478492736816,0.06004781998723495,0.003605740685219373,1.7781184911727905,1.0665489435195923
9,1.0692184752559069,1.0639328956604004,0.06317235538980734,0.003990746485496121,1.768518090248108,0.9959505200386047,1.100293695556451,1.0940823554992676,0.05902022748959516,0.003483387252923564,1.7392035722732544,1.0271726846694946
10,1.0357128766752919,1.0299954414367676,0.060998889149940484,0.003720864477526727,1.71530020236969,0.9690718054771423,1.0672964797997326,1.0608774423599243,0.057413106064468,0.003296264747969852,1.6925393342971802,1.0015599727630615
11,1.0052859661001596,1.0013550519943237,0.060535008333727776,0.0036644872339644916,1.6834555864334106,0.9417191743850708,1.0374583198417047,1.0333855152130127,0.056374057670445586,0.003178034378230725,1.6526119709014893,0.9706826210021973
12,0.9787917896087125,0.9738765358924866,0.058546480740229216,0.0034276904070660304,1.6356769800186157,0.9197131991386414,1.0093170459966483,1.0042976140975952,0.055412462867258164,0.0030705410410152645,1.6125916242599487,0.949714720249176
13,0.9552115990508417,0.9503917098045349,0.057716442164288694,0.0033311876961036814,1.6044989824295044,0.8945345878601074,0.98623058699673,0.9818118214607239,0.05534770723697729,0.0030633686963901477,1.5977338552474976,0.9263046383857727
14,0.9332240446013693,0.9291800260543823,0.05574041524743168,0.003106993891956114,1.5605318546295166,0.8782500624656677,0.9649792487576881,0.9594436883926392,0.053165760165620385,0.002826598053988267,1.5499135255813599,0.9055258631706238
15,0.9131902311899647,0.9084817171096802,0.05453895990968905,0.0029744981480306697,1.5312461853027344,0.8540094494819641,0.9448229589077256,0.939246416091919,0.05362685485546064,0.0028758395616886425,1.5396560430526733,0.8884416818618774
16,0.8945708689482316,0.8874306082725525,0.05406765933324413,0.0029233117857757414,1.5070148706436157,0.8411522507667542,0.9272888561953669,0.9231250286102295,0.05224286396467624,0.002729316835231667,1.5038377046585083,0.8681429028511047
17,0.8779625826000427,0.8736305236816406,0.054022810717141025,0.002918464077780047,1.4916387796401978,0.8233194351196289,0.909109998563802,0.9051030278205872,0.05172751447708143,0.002675735753976669,1.4825876951217651,0.8577933311462402
18,0.8628641155935963,0.857750415802002,0.053736817859323105,0.0028876455936460666,1.4744112491607666,0.8107250332832336,0.8932352806470409,0.8906204104423523,0.05071174234262727,0.002571680811425016,1.4571173191070557,0.8364673852920532
19,0.8479972326237223,0.844633162021637,0.05304959201660871,0.0028142592131286345,1.454690933227539,0.7896279692649841,0.8785182441243474,0.8753973841667175,0.05111686306806546,0.0026129336899193547,1.4479353427886963,0.8242824673652649
20,0.8343299608793318,0.8304524421691895,0.05251432106437399,0.0027577539168521536,1.437560796737671,0.7857475280761719,0.8643189979636151,0.8604771494865417,0.04917254637134613,0.0024179393166421856,1.4141591787338257,0.8135623931884766
21,0.8211195013537911,0.8166453242301941,0.05179947027940564,0.0026831851212270282,1.4130104780197144,0.7725212574005127,0.8521024614387418,0.8488159775733948,0.05015516820244997,0.0025155408974160487,1.4138864278793335,0.8019555807113647
22,0.8078955611827211,0.8033884167671204,0.051534677521942976,0.0026558229872906546,1.3961650133132935,0.7599483132362366,0.8394996553474332,0.8358827829360962,0.04881544816905875,0.0023829479799460616,1.387378454208374,0.785642683506012
23,0.7952668433604033,0.791562557220459,0.05120921202025929,0.002622383395735869,1.381859540939331,0.7497792840003967,0.8282516406189581,0.8238144516944885,0.04866759204329511,0.002368534515292602,1.3722224235534668,0.777284562587738
24,0.7853709218664939,0.7824349999427795,0.05139083979324785,0.0026410184146552665,1.3755977153778076,0.7353430986404419,0.8167419848234757,0.8119386434555054,0.04887676220156032,0.0023889378833078755,1.3665623664855957,0.7616945505142212
25,0.7745923077838021,0.7698282599449158,0.05023174965805921,0.0025232286737099318,1.3542718887329102,0.7286521196365356,0.8058655269397712,0.804054319858551,0.047283489108286295,0.002235728342253429,1.3356965780258179,0.7535338997840881
26,0.7643992260376119,0.7598516941070557,0.049407506849760405,0.0024411017331091214,1.327388048171997,0.7140416502952576,0.7953334709872371,0.7918452024459839,0.047291438650128484,0.002236480169598866,1.3277500867843628,0.7426396608352661
27,0.7546670381326853,0.7504825592041016,0.049678110105617984,0.0024679146236659035,1.3265833854675293,0.7034305334091187,0.7861817656836895,0.7835375070571899,0.04732406132386114,0.00223956678018457,1.3164619207382202,0.7339356541633606
28,0.746531881901048,0.7415361404418945,0.04939662854801255,0.0024400269119103286,1.3143705129623413,0.7001575827598572,0.7768405276055662,0.7755284905433655,0.04751182077436429,0.0022573731132953146,1.3145679235458374,0.724755048751831
29,0.7365136961018817,0.7324022054672241,0.0482187964010567,0.0023250523263665585,1.2905865907669067,0.6913586258888245,0.7679463510187516,0.7654036283493042,0.0468165217443487,0.002191786708239075,1.2938300371170044,0.7053431868553162
30,0.7280900930025562,0.7228317856788635,0.04803131364661792,0.002307007090619785,1.2804638147354126,0.6840161085128784,0.7592253355506045,0.7563288807868958,0.04710065499260577,0.0022184717007324786,1.2928866147994995,0.7098948359489441
31,0.7211537313017046,0.7162208557128906,0.04731660904664478,0.0022388614916730265,1.2661705017089844,0.6720976233482361,0.7515751415898341,0.7479770183563232,0.04595132198594567,0.0021115239922560535,1.2671482563018799,0.7007082104682922
32,0.7138530256585305,0.7083044648170471,0.04779111430160372,0.0022839906061889515,1.2643924951553345,0.668395459651947,0.7444183222995782,0.7405923008918762,0.045736327451836166,0.0020918116487815826,1.2596467733383179,0.6973652243614197
33,0.7067873944406924,0.7027049660682678,0.04767057431603591,0.0022724836556207027,1.2554457187652588,0.6573122143745422,0.7368630922358969,0.7327189445495605,0.04545045088346561,0.0020657434855103195,1.2498359680175781,0.6869162321090698
34,0.6991362297757072,0.6944646239280701,0.047919485640924984,0.0022962771040908156,1.248358130455017,0.6553105115890503,0.7306611782275372,0.7262958288192749,0.045198591931909136,0.0020429127126272415,1.238966464996338,0.6841716766357422
35,0.692364590138382,0.6877674460411072,0.04698400198768783,0.002207496442779054,1.2300653457641602,0.6485187411308289,0.7223333161069739,0.7191625237464905,0.044548555964308255,0.0019845738385051047,1.2253170013427734,0.6740912199020386
36,0.6843305226438534,0.6805302500724792,0.047458518151127976,0.0022523109451009437,1.233831524848938,0.6362124681472778,0.7148565779561582,0.7108885645866394,0.044488665421825786,0.001979241351015157,1.2186583280563354,0.6680675745010376
37,0.6796684850076711,0.6743939518928528,0.0453793393693779,0.002059284441601171,1.20352303981781,0.633981466293335,0.7088914831973011,0.7055164575576782,0.0451169698976549,0.0020355409727458988,1.2230726480484009,0.6634885668754578
38,0.674666556882562,0.6704724431037903,0.046002285390014615,0.002116210261104352,1.2060813903808594,0.6327013373374939,0.7026294358768819,0.6981030702590942,0.04422413489336774,0.001955774107066786,1.2111891508102417,0.6559726595878601
39,0.6689596731470239,0.664486825466156,0.04623397419969447,0.0021375803702980145,1.2041418552398682,0.6251118779182434,0.696374974265602,0.6935740113258362,0.044466833881617464,0.001977299315455363,1.2012263536453247,0.6483045220375061
40,0.660877978209383,0.656457781791687,0.04570637961774031,0.002089073137760987,1.1893467903137207,0.6197914481163025,0.6905795132151301,0.6865261793136597,0.04553441022582692,0.002073382514613891,1.2056469917297363,0.6355503797531128
41,0.6561456281946313,0.652047872543335,0.04564858574482653,0.00208379338050278,1.184704065322876,0.6160584688186646,0.684836144773116,0.6808608770370483,0.0440743835317838,0.001942551283706775,1.1887823343276978,0.631685197353363
42,0.6502380959735894,0.6465049386024475,0.046873361556501195,0.002197112023606484,1.1970735788345337,0.6084116101264954,0.6789612677526771,0.6751816868782043,0.0433074613096397,0.0018755362050859395,1.1730971336364746,0.6319153904914856
43,0.6463742981786313,0.6414109468460083,0.04683812437408525,0.002193809894882279,1.1917184591293335,0.6040207743644714,0.6731740710157785,0.6699551343917847,0.0443839015237553,0.0019699307144704077,1.1845730543136597,0.6180722713470459
44,0.640839625959811,0.6363685131072998,0.04489593594020466,0.002015645063946961,1.1622964143753052,0.5944200754165649,0.6683494748536104,0.6638515591621399,0.0432592676744141,0.0018713642397266083,1.1615208387374878,0.6155588030815125
45,0.6357354825327856,0.6322267651557922,0.045719541960400935,0.0020902765170688615,1.1686524152755737,0.5917662382125854,0.6625322655120992,0.6582725644111633,0.04321517674710299,0.0018675515012833513,1.1535804271697998,0.6167377233505249
46,0.6296719160879621,0.6246724128723145,0.04550486519164169,0.0020706927561094835,1.1599074602127075,0.5803817510604858,0.6579285800827216,0.6557760238647461,0.043624321540531065,0.0019030814298716427,1.1588616371154785,0.6122037172317505
47,0.6246013552505777,0.6202037334442139,0.04637113767781752,0.0021502824095351075,1.1664848327636719,0.5824514031410217,0.6522269374835565,0.6485303640365601,0.044333687920557134,0.0019654758846373538,1.157817006111145,0.6042410135269165
48,0.6203600701338016,0.6166884303092957,0.045545628790485244,0.0020744043019206783,1.1531293392181396,0.5767888426780701,0.6484082629961997,0.6448681950569153,0.042970329430054396,0.0018464492113273992,1.1375917196273804,0.6082853674888611
49,0.6164433771038648,0.6123093962669373,0.04446642000353486,0.001977262507930765,1.1333390474319458,0.5725112557411194,0.6428191395279783,0.6386995911598206,0.044490051110579985,0.0019793646478220195,1.153694748878479,0.5934398174285889
50,0.6120567717907591,0.6094136834144592,0.04591573337677027,0.0021082545715266554,1.1471468210220337,0.5678067803382874,0.6391767307838297,0.6349071264266968,0.0433120660089859,0.0018759350619667516,1.1373475790023804,0.5999143123626709
51,0.6085076817074178,0.6042437553405762,0.0443144373594999,0.0019637693584890403,1.124640703201294,0.5647792220115662,0.6357662037292623,0.6313940286636353,0.04348257745482429,0.0018907345421147936,1.136998176574707,0.589653730392456
52,0.604569615414424,0.6005316972732544,0.045713076789893295,0.002089685389598681,1.1393510103225708,0.5567347407341003,0.6310457887116426,0.6266869902610779,0.04377409566590502,0.0019161714513678042,1.1336437463760376,0.590940535068512
53,0.6010239076170122,0.5972192883491516,0.04471043695834139,0.0019990231730058197,1.1252485513687134,0.5551960468292236,0.6275936864918064,0.6238930821418762,0.04324695166021419,0.0018702988279009026,1.1262565851211548,0.5819539427757263
54,0.5987411096969747,0.5949722528457642,0.046237228633568515,0.002137881311712888,1.1395189762115479,0.5591608881950378,0.6243132086274046,0.6208437085151672,0.04354362628511005,0.001896047390057327,1.119055151939392,0.570367157459259
55,0.594403918855679,0.5909278392791748,0.043320546841783596,0.0018766697786711667,1.1012656688690186,0.5438269376754761,0.6199352300685385,0.6165580749511719,0.04358942069218061,0.001900037596279903,1.1166272163391113,0.5693536400794983
56,0.5909968059255469,0.5866993069648743,0.044394132087973395,0.001970838963844429,1.111628532409668,0.5521239042282104,0.6165921728803504,0.6139239072799683,0.04367088316858804,0.0019071460367244663,1.1182862520217896,0.5704942345619202
57,0.5885608518345756,0.5845726132392883,0.044756825642666774,0.0020031734416080743,1.113019585609436,0.5478888750076294,0.6124674918488686,0.6102888584136963,0.043020445704917386,0.0018507587486497447,1.1106468439102173,0.5611584186553955
58,0.5848392699816212,0.5811696648597717,0.04393818926635769,0.0019305644760062703,1.097946286201477,0.5453207492828369,0.6084820839188854,0.6059362292289734,0.042802895036176486,0.0018320878234779417,1.09859299659729,0.5637996792793274
59,0.5827896846747547,0.5788690447807312,0.044496759540701133,0.0019799616096229772,1.1047331094741821,0.5397732257843018,0.6059626189077864,0.6033376455307007,0.04300006259705974,0.001849005383351056,1.1017115116119385,0.5586904883384705
60,0.5795478606075974,0.5747731328010559,0.04508153005086663,0.0020323443517271914,1.1109728813171387,0.5405710339546204,0.6023647818506134,0.5977575182914734,0.043180776207432874,0.0018645794338764008,1.100427508354187,0.5497726798057556
61,0.5764279606179421,0.5745320916175842,0.044767059546201325,0.0020040896204131355,1.0998891592025757,0.5315015316009521,0.5982792847645209,0.594015896320343,0.04223009785817304,0.0017833811651108715,1.0865570306777954,0.5583401918411255
62,0.5746206374642271,0.5688130855560303,0.04401757533916872,0.0019375469387393938,1.0896339416503906,0.535353422164917,0.5958529525662061,0.5923964381217957,0.04337670057786476,0.0018815381530217327,1.094964623451233,0.5459960103034973
63,0.5727539391991514,0.5681663751602173,0.04374256356743337,0.0019134118674509492,1.0836073160171509,0.5300168991088867,0.5931316984366186,0.5893731713294983,0.04238956130560222,0.0017968749076814092,1.0814176797866821,0.5408951640129089
64,0.5692061063665781,0.5647234320640564,0.04499089646190979,0.002024180764446287,1.098817229270935,0.5307681560516357,0.5906829515599316,0.586557149887085,0.04289277830334383,0.0018397904305798034,1.086944818496704,0.5469837784767151
65,0.5671240779924096,0.5626620650291443,0.043808518815902364,0.0019191863208432717,1.08318293094635,0.5247213244438171,0.5876004521891197,0.5833566784858704,0.04331299492664274,0.0018760155295153799,1.0849602222442627,0.5416455864906311
66,0.5660550076028575,0.5639910697937012,0.044798480447995344,0.002006903850449421,1.0908207893371582,0.5210124850273132,0.5848187319240215,0.5828482508659363,0.042965130016905745,0.001846002397369615,1.0837466716766357,0.5421408414840698
67,0.5632364290841618,0.5596708059310913,0.043640470601411914,0.0019044906743126975,1.0734331607818604,0.5222393274307251,0.582442185523347,0.5789656639099121,0.04319868896606359,0.0018661267283867039,1.079974889755249,0.5371359586715698
68,0.5594727134112245,0.5541143417358398,0.044972103562192965,0.002022490098808609,1.0852940082550049,0.5129287242889404,0.5793873001329647,0.5750817060470581,0.042737585030864104,0.0018265011742703398,1.0731693506240845,0.5331360697746277
69,0.5560807382097895,0.5514000058174133,0.04313149809181196,0.0018603261276439788,1.0613903999328613,0.5146318078041077,0.5775875234455796,0.5726550221443176,0.042339813629682574,0.001792659818196254,1.066476583480835,0.5342428684234619
70,0.5528748102069642,0.547065258026123,0.0441170641375383,0.0019463153481156677,1.071484923362732,0.5143107175827026,0.5754893573914995,0.571586549282074,0.04302944702454907,0.001851533311238475,1.0729687213897705,0.5279229283332825
71,0.5513522610160875,0.5464543104171753,0.04386809108076789,0.0019244094150705471,1.0646107196807861,0.5127928256988525,0.5738081284191298,0.5714637041091919,0.04304209609590315,0.001852622036328961,1.073766827583313,0.5307786464691162
72,0.546935700851938,0.5423004627227783,0.04445818647438669,0.0019765303445913396,1.066834568977356,0.5038133263587952,0.5711686829602496,0.5672791004180908,0.0429763702544192,0.0018469684002449277,1.0661624670028687,0.5234162211418152
73,0.5452669522036677,0.5410337448120117,0.04426819468825022,0.001959673060956825,1.0662370920181274,0.5092167258262634,0.5687485618620925,0.5644195675849915,0.041290711409520106,0.0017049228487042737,1.0450958013534546,0.5317978262901306
74,0.5426040873024034,0.5377144813537598,0.04415116504337007,0.0019493253746869033,1.0615254640579224,0.5060552954673767,0.5660515575675491,0.5622960925102234,0.041735978162359584,0.0017418918731689562,1.0488502979278564,0.5204825401306152
75,0.5402885297810809,0.5358386039733887,0.044239109865590875,0.0019570988416998196,1.0592890977859497,0.500800609588623,0.5659622231625622,0.5618688464164734,0.0431805301689813,0.0018645581856743046,1.0729942321777344,0.524435818195343
76,0.5393088293371734,0.5347888469696045,0.04386896101440154,0.001924485740483082,1.050505518913269,0.5001922249794006,0.5638071520728354,0.559979259967804,0.04255258447971174,0.0018107224459030045,1.0553303956985474,0.5200332403182983
77,0.5368319566575637,0.5326507687568665,0.042775864418739484,0.001829774576770383,1.0398776531219482,0.49385225772857666,0.5622904137795016,0.5585747957229614,0.04275978010046115,0.0018283987942397933,1.0592347383499146,0.5203308463096619
78,0.5343259933942593,0.529019832611084,0.04360825666267379,0.0019016800491576326,1.044227957725525,0.48745930194854736,0.5626768969600986,0.5601285696029663,0.042466255520038035,0.001803382857893161,1.050443172454834,0.5201430916786194
79,0.5320221761368816,0.5280600786209106,0.043155401630448155,0.0018623886898852873,1.036558985710144,0.4875623881816864,0.5605923363140651,0.5572255253791809,0.04136089998335567,0.001710724047433151,1.0371266603469849,0.513813316822052
80,0.5305640171773686,0.5268495678901672,0.04418088638587901,0.0019519507218419495,1.0477874279022217,0.48748674988746643,0.5570260623226995,0.5535413026809692,0.04266181345644094,0.001820030327392165,1.0465749502182007,0.5154458284378052
81,0.5291587282782015,0.5253267288208008,0.04409948854137859,0.001944764889611181,1.0467361211776733,0.488295316696167,0.5539600290126682,0.5514402985572815,0.042893961468138835,0.0018398919304301793,1.0498418807983398,0.5053234100341797
82,0.5267928753580365,0.5226132273674011,0.04375845643382516,0.0019148025094709745,1.0394543409347534,0.48441222310066223,0.5509511258291162,0.5452095866203308,0.04209575053977561,0.0017720522135070181,1.0373209714889526,0.503891110420227
83,0.5250203977830662,0.5207293033599854,0.04432684202465939,0.0019648689238791098,1.0466095209121704,0.4907704293727875,0.5490181979185306,0.5451053977012634,0.042473083611403784,0.0018039628314612966,1.0414080619812012,0.5074916481971741
84,0.5234825675902159,0.5192912817001343,0.04444416607005183,0.0019752838976623464,1.0476149320602417,0.4775971472263336,0.5467928933060687,0.5430232882499695,0.041567054260460534,0.00172781999989207,1.0257704257965088,0.5087674856185913
85,0.5218459095643915,0.5167118906974792,0.044325898596647,0.0019647852864002322,1.0459176301956177,0.4820246994495392,0.5438800642949454,0.5395877957344055,0.04256093377470238,0.0018114330837746017,1.0388356447219849,0.5041481256484985
86,0.5205670234209262,0.5149247646331787,0.04377320444143808,0.0019160934270719342,1.0336211919784546,0.4776808023452759,0.541852987701108,0.5378135442733765,0.04289466196529199,0.0018399520251166674,1.0410891771316528,0.5028281211853027
87,0.5188732352686225,0.5141569972038269,0.042836421642253285,0.0018349590191129054,1.0185320377349854,0.4707089364528656,0.5403731996598451,0.5360426306724548,0.04275892796413323,0.0018283259206419344,1.0370204448699951,0.49016228318214417
88,0.5184611256078163,0.5146387219429016,0.04354396030062667,0.0018960764786625514,1.029657244682312,0.47648531198501587,0.5397163364828003,0.5363960266113281,0.04219046364188568,0.0017800352223172778,1.0306628942489624,0.4932004511356354
89,0.5161193268639701,0.5118671655654907,0.043858286103773146,0.0019235492599604205,1.0304025411605835,0.47822025418281555,0.538517393310618,0.5349828600883484,0.04133234961160721,0.0017083631244161266,1.017844796180725,0.49844890832901
90,0.5138657118963159,0.5095309615135193,0.044401377069555104,0.001971482285672814,1.0383538007736206,0.47027796506881714,0.5360413190000546,0.5322062969207764,0.041030903779983335,0.0016835350650022507,1.0114258527755737,0.49283909797668457
91,0.5127263409750802,0.5085662603378296,0.04460739778829271,0.001989819937442981,1.036494493484497,0.4726407825946808,0.5350932182732576,0.5320271849632263,0.04205529549110715,0.001768647878844337,1.0249794721603394,0.48916125297546387
92,0.5111542432944968,0.5047654509544373,0.04395314971664916,0.001931879370014176,1.0262060165405273,0.46984541416168213,0.5328651311234658,0.5279949307441711,0.04148307341735996,0.001720845380150077,1.0139278173446655,0.4931963086128235
93,0.5097724476956432,0.5044549703598022,0.044515620526421315,0.001981640470852343,1.0353641510009766,0.4671688973903656,0.5327104348573626,0.5291042327880859,0.04219734052571067,0.0017806155474427842,1.025527000427246,0.4897153079509735
94,0.5086396297682887,0.504509687423706,0.04363250023423782,0.0019037950766907633,1.0195355415344238,0.4685516357421875,0.5310122953808826,0.5274695158004761,0.04193133065417926,0.0017582364904301134,1.020982265472412,0.48955073952674866
95,0.5069778750401847,0.5021594762802124,0.044237074707996066,0.001956918778720825,1.0313806533813477,0.46654996275901794,0.5290676431256052,0.5250250101089478,0.04163400249871186,0.0017333901640627456,1.0109962224960327,0.4777173399925232
96,0.5050817069059573,0.5019102096557617,0.04368568718727898,0.0019084392650247908,1.0203871726989746,0.46710285544395447,0.5275681035489029,0.5236731767654419,0.042345999676154246,0.0017931836885728553,1.020367980003357,0.4925573170185089
97,0.5038199469169474,0.49850744009017944,0.043002744468987615,0.0018492360318650449,1.0055288076400757,0.4625655710697174,0.5248597169884984,0.521449863910675,0.042255319174114764,0.0017855119985063109,1.0160789489746094,0.48199039697647095
98,0.5038771260969387,0.4983806610107422,0.044425673694788996,0.0019736404832358667,1.0307670831680298,0.46616894006729126,0.5250588946090722,0.520911693572998,0.04151912764576161,0.001723837960465046,1.0113089084625244,0.48632216453552246
99,0.5030805311217812,0.4992974102497101,0.04370493331909703,0.0019101211964267179,1.0169709920883179,0.46306824684143066,0.5235811925452688,0.518333375453949,0.04207602833846157,0.0017703921607390215,1.0132070779800415,0.4798504710197449
